iter	Logloss
0	0.6632272912
1	0.64368934
2	0.629057064
3	0.6172754314
4	0.6106717029
5	0.6044597232
6	0.6012502089
7	0.5980353892
8	0.5949785072
9	0.592030978
10	0.5890749148
11	0.5868550171
12	0.5847456193
13	0.5835260276
14	0.5826393345
15	0.5819574925
16	0.5811655667
17	0.5792784415
18	0.5785725249
19	0.5779508813
20	0.57662237
21	0.5758800231
22	0.5752535468
23	0.5742761956
24	0.5735897881
25	0.5734853004
26	0.5732039167
27	0.5725116433
28	0.5720110261
29	0.5716777269
30	0.5708866199
31	0.5703191956
32	0.5698082097
33	0.569283226
34	0.5690722607
35	0.5682748226
36	0.5680898531
37	0.5675881344
38	0.5672287267
39	0.566445536
40	0.5659328513
41	0.5656872211
42	0.5655536763
43	0.5652377622
44	0.5648407331
45	0.5645147769
46	0.5641997595
47	0.5638037567
48	0.5635409702
49	0.5634838915
50	0.5631353443
51	0.5628896871
52	0.5624292573
53	0.5621058839
54	0.5614484503
55	0.5611949489
56	0.5609567063
57	0.5604829744
58	0.5597738821
59	0.559546886
60	0.5593541653
61	0.5588658189
62	0.5584298279
63	0.5578763653
64	0.5576824188
65	0.5571934363
66	0.5569831976
67	0.5568890057
68	0.5566026022
69	0.5563076387
70	0.555824563
71	0.5555553449
72	0.55510779
73	0.5549994822
74	0.5544146767
75	0.5541878134
76	0.5539480429
77	0.5534702202
78	0.5530714575
79	0.552566148
80	0.5523675387
81	0.5520937665
82	0.551722263
83	0.5514255033
84	0.5510676017
85	0.5509990929
86	0.550798204
87	0.5503921769
88	0.5500496419
89	0.5498436689
90	0.5494176558
91	0.5493488817
92	0.549099069
93	0.548935356
94	0.5487370823
95	0.5484587088
96	0.5484123393
97	0.5481867201
98	0.5480790445
99	0.5478671921
100	0.5477349338
101	0.5476842022
102	0.5475108189
103	0.5474579823
104	0.5472262586
105	0.5469219891
106	0.5467883496
107	0.5467337163
108	0.5464897549
109	0.5463148998
110	0.5458979687
111	0.5458750552
112	0.5456562207
113	0.5455605753
114	0.5452924902
115	0.5450658931
116	0.544947628
117	0.5448271967
118	0.5447251523
119	0.5445197857
120	0.5443724935
121	0.5442204259
122	0.5440058773
123	0.5439901366
124	0.5436446858
125	0.5434526251
126	0.5431055971
127	0.5429592381
128	0.542813968
129	0.5426929385
130	0.542599366
131	0.5424848142
132	0.5424093437
133	0.5423301889
134	0.5422536666
135	0.5421317504
136	0.541792707
137	0.5416445598
138	0.5415502004
139	0.5415161539
140	0.541462437
141	0.5414093619
142	0.5413186892
143	0.5410890499
144	0.5409450265
145	0.5407870582
146	0.5406495356
147	0.5404184832
148	0.5402565559
149	0.539952267
150	0.5396428909
151	0.5395144263
152	0.5392981559
153	0.5390635243
154	0.5389771734
155	0.538737728
156	0.5385946156
157	0.5382818396
158	0.5380849315
159	0.5379687216
160	0.5376808289
161	0.537567282
162	0.5374396143
163	0.5373623239
164	0.5371971131
165	0.5370987551
166	0.5368160378
167	0.5367672016
168	0.5367222021
169	0.5365280236
170	0.5363438824
171	0.536229832
172	0.5361012202
173	0.5358973779
174	0.5358699848
175	0.5356642012
176	0.5354383468
177	0.5352573628
178	0.5350969054
179	0.534799187
180	0.5346729435
181	0.5345107208
182	0.5343478629
183	0.5342328784
184	0.5340566934
185	0.533948816
186	0.5337127762
187	0.5335913494
188	0.533349332
189	0.5332558518
190	0.5331246237
191	0.5329036237
192	0.5326200832
193	0.5324810147
194	0.5323092285
195	0.5319881653
196	0.5318593189
197	0.5317672564
198	0.5316043683
199	0.5314463529
