iter	Passed	Remaining
0	78	15615
1	171	16979
2	239	15726
3	345	16942
4	449	17548
5	574	18569
6	670	18474
7	761	18285
8	848	18003
9	943	17935
10	1033	17762
11	1111	17414
12	1194	17178
13	1281	17029
14	1374	16955
15	1453	16717
16	1555	16749
17	1632	16511
18	1706	16255
19	1817	16358
20	1919	16363
21	2007	16241
22	2113	16262
23	2199	16128
24	2286	16004
25	2322	15545
26	2389	15312
27	2491	15307
28	2580	15216
29	2652	15030
30	2731	14892
31	2828	14851
32	2922	14789
33	3002	14659
34	3075	14500
35	3178	14479
36	3251	14324
37	3334	14216
38	3459	14281
39	3547	14189
40	3630	14079
41	3708	13951
42	3797	13864
43	3888	13787
44	3983	13719
45	4072	13632
46	4176	13595
47	4320	13682
48	4461	13747
49	4495	13485
50	4580	13381
51	4666	13282
52	4760	13202
53	4854	13125
54	4948	13046
55	5036	12950
56	5109	12817
57	5197	12725
58	5290	12643
59	5363	12514
60	5455	12431
61	5537	12325
62	5616	12212
63	5700	12113
64	5771	11986
65	5848	11874
66	5937	11786
67	6017	11680
68	6104	11590
69	6170	11460
70	6263	11380
71	6379	11341
72	6478	11271
73	6581	11205
74	6683	11138
75	6767	11041
76	6852	10945
77	6946	10864
78	7033	10772
79	7132	10699
80	7217	10603
81	7291	10492
82	7380	10404
83	7462	10304
84	7546	10210
85	7640	10128
86	7708	10012
87	7793	9919
88	7882	9830
89	7978	9751
90	8165	9780
91	8263	9700
92	8355	9613
93	8440	9517
94	8515	9412
95	8602	9319
96	8689	9227
97	8765	9123
98	8850	9029
99	8942	8942
100	9027	8849
101	9096	8740
102	9173	8639
103	9261	8548
104	9354	8463
105	9436	8367
106	9517	8272
107	9594	8172
108	9678	8079
109	9748	7976
110	9832	7884
111	9920	7794
112	10001	7700
113	10078	7602
114	10149	7501
115	10249	7421
116	10324	7324
117	10417	7239
118	10497	7145
119	10578	7052
120	10681	6973
121	10759	6879
122	10861	6799
123	10926	6696
124	11013	6607
125	11100	6519
126	11185	6429
127	11267	6337
128	11348	6246
129	11442	6161
130	11524	6070
131	11604	5978
132	11691	5889
133	11786	5805
134	11887	5723
135	11988	5641
136	12104	5566
137	12205	5483
138	12307	5401
139	12383	5307
140	12464	5215
141	12542	5122
142	12631	5035
143	12724	4948
144	12807	4857
145	12898	4770
146	13004	4688
147	13181	4631
148	13286	4547
149	13363	4454
150	13469	4371
151	13605	4296
152	13683	4203
153	13764	4111
154	13854	4022
155	13950	3934
156	14055	3849
157	14155	3762
158	14249	3674
159	14323	3580
160	14404	3489
161	14484	3397
162	14573	3307
163	14671	3220
164	14757	3130
165	14834	3038
166	14934	2951
167	15013	2859
168	15084	2767
169	15185	2679
170	15294	2593
171	15398	2506
172	15493	2418
173	15582	2328
174	15658	2236
175	15742	2146
176	15826	2056
177	15908	1966
178	16002	1877
179	16082	1786
180	16163	1696
181	16231	1605
182	16334	1517
183	16424	1428
184	16508	1338
185	16616	1250
186	16691	1160
187	16769	1070
188	16858	981
189	16932	891
190	17007	801
191	17080	711
192	17156	622
193	17242	533
194	17337	444
195	17442	355
196	17545	267
197	17637	178
198	17759	89
199	17873	0
